	Message Size	AWS Bus Bandwidth (GB/s)	GCP Bus Bandwidth (GB/s)	Comparison
8 B	0.00	—	—
16 B	0.00	—	—
32 B	0.00	—	—
64 B	0.00	—	—
128 B	0.00	—	—
256 B	0.00	—	—
512 B	0.00	—	—
1 KB	0.00	—	—
2 KB	0.00	—	—
4 KB	0.01	0.06	🔴 AWS 6.0x worse
8 KB	0.02	0.13	🔴 AWS 6.5x worse
16 KB	0.03	0.25	🔴 AWS 8.3x worse
32 KB	0.08	0.50	🔴 AWS 6.3x worse
64 KB	0.15	0.98	🔴 AWS 6.5x worse
128 KB	0.30	1.82	🔴 AWS 6.1x worse
256 KB	0.57	3.26	🔴 AWS 5.7x worse
512 KB	1.06	5.49	🔴 AWS 5.2x worse
1 MB	2.03	8.08	🔴 AWS 4.0x worse
2 MB	4.02	13.92	🔴 AWS 3.5x worse
4 MB	8.03	20.63	🔴 AWS 2.6x worse
8 MB	11.34	27.64	🔴 AWS 2.4x worse
16 MB	17.76	33.12	🔴 AWS 1.9x worse
32 MB	26.43	35.04	🔴 AWS 1.3x worse
64 MB	32.00	36.87	🔴 AWS 1.2x worse
128 MB	32.12	38.32	🔴 AWS 1.2x worse
