---------------------------------------------------------------------------------------
                    RDMA_Write_imm BW Test
 Dual-port       : OFF		Device         : rdmap113s0
 Number of qps   : 1		Transport type : Unknown
 Connection type : SRD		Using SRQ      : OFF
 PCIe relax order: ON		Lock-free      : OFF
 ibv_wr* API     : ON		Using Enhanced Reorder      : OFF
 TX depth        : 128
 CQ Moderation   : 1
 CQE Poll Batch  : Dynamic
 Mtu             : 4096[B]
 Link type       : IB
 GID index       : 0
 Max inline data : 0[B]
 rdma_cm QPs	 : OFF
 Data ex. method : Ethernet
---------------------------------------------------------------------------------------
 local address: LID 0000 QPN 000000 PSN 0x317b6c
 GID: 254:128:00:00:00:00:00:00:04:140:226:255:254:50:255:79
 remote address: LID 0000 QPN 000000 PSN 0x3c8d7e
 GID: 254:128:00:00:00:00:00:00:04:90:113:255:254:102:80:205
---------------------------------------------------------------------------------------
 #bytes     #iterations    BW peak[Gb/sec]    BW average[Gb/sec]   MsgRate[Mpps]
 2          5000           0.041469            0.039246            2.452861
 4          5000           0.082848            0.082770            2.586551
 8          5000             0.17               0.17   		     2.584085
 16         5000             0.33               0.33   		     2.572732
 32         5000             0.67               0.66   		     2.584597
 64         5000             1.33               1.33   		     2.595044
 128        5000             2.65               2.65   		     2.588835
 256        5000             5.30               5.30   		     2.586209
 512        5000             10.59              10.58  		     2.583044
 1024       5000             21.25              21.17  		     2.584390
 2048       5000             42.51              42.26  		     2.579153
 4096       5000             85.57              85.38  		     2.605529
 8192       5000             170.22             169.46 		     2.585790
 16384      5000             230.12             228.17 		     1.740796
 32768      5000             294.27             293.03 		     1.117836
 65536      5000             356.96             356.92 		     0.680767
 131072     5000             387.40             387.36 		     0.369416
 262144     5000             389.42             387.62 		     0.184830
 524288     5000             390.17             390.16 		     0.093021
 1048576    5000             390.46             389.84 		     0.046472
 2097152    5000             390.35             389.86 		     0.023238
 4194304    5000             389.75             389.60 		     0.011611
 8388608    5000             389.74             389.55 		     0.005805
---------------------------------------------------------------------------------------
