 WARNING: BW peak won't be measured in this run.

************************************
* Waiting for client to connect... *
************************************
---------------------------------------------------------------------------------------
                    RDMA_Write_imm BW Test
 Dual-port       : OFF		Device         : rdmap113s0
 Number of qps   : 1		Transport type : Unknown
 Connection type : SRD		Using SRQ      : OFF
 PCIe relax order: ON		Lock-free      : OFF
 ibv_wr* API     : ON		Using Enhanced Reorder      : OFF
 RX depth        : 512
 CQ Moderation   : 1
 CQE Poll Batch  : Dynamic
 Mtu             : 4096[B]
 Link type       : IB
 GID index       : 0
 Max inline data : 0[B]
 rdma_cm QPs	 : OFF
 Data ex. method : Ethernet
---------------------------------------------------------------------------------------
 local address: LID 0000 QPN 000000 PSN 0x3c8d7e
 GID: 254:128:00:00:00:00:00:00:04:90:113:255:254:102:80:205
 remote address: LID 0000 QPN 000000 PSN 0x317b6c
 GID: 254:128:00:00:00:00:00:00:04:140:226:255:254:50:255:79
---------------------------------------------------------------------------------------
 #bytes     #iterations    BW peak[Gb/sec]    BW average[Gb/sec]   MsgRate[Mpps]
 2          5000           0.000000            0.042313            2.644559
 4          5000           0.000000            0.083932            2.622889
 8          5000             0.00               0.17   		     2.618785
 16         5000             0.00               0.33   		     2.607051
 32         5000             0.00               0.67   		     2.625922
 64         5000             0.00               1.35   		     2.631189
 128        5000             0.00               2.69   		     2.626135
 256        5000             0.00               5.37   		     2.623608
 512        5000             0.00               10.72  		     2.618360
 1024       5000             0.00               21.49  		     2.623188
 2048       5000             0.00               42.95  		     2.621588
 4096       5000             0.00               86.70  		     2.645819
 8192       5000             0.00               172.02 		     2.624770
 16384      5000             0.00               230.67 		     1.759905
 32768      5000             0.00               295.20 		     1.126107
 65536      5000             0.00               358.83 		     0.684411
 131072     5000             0.00               388.26 		     0.370273
 262144     5000             0.00               388.23 		     0.185125
 524288     5000             0.00               390.52 		     0.093108
 1048576    5000             0.00               390.07 		     0.046500
 2097152    5000             0.00               390.02 		     0.023247
 4194304    5000             0.00               389.72 		     0.011615
 8388608    5000             0.00               389.66 		     0.005806
---------------------------------------------------------------------------------------
