Disabling dynamic polling
---------------------------------------------------------------------------------------
                    RDMA_Write_imm Latency Test
 Dual-port       : OFF		Device         : rdmap113s0
 Number of qps   : 1		Transport type : Unknown
 Connection type : SRD		Using SRQ      : OFF
 PCIe relax order: OFF		Lock-free      : OFF
 ibv_wr* API     : ON		Using Enhanced Reorder      : OFF
 TX depth        : 1024
 Mtu             : 4096[B]
 Link type       : IB
 GID index       : 0
 Max inline data : 0[B]
 rdma_cm QPs	 : OFF
 Data ex. method : Ethernet
---------------------------------------------------------------------------------------
 local address: LID 0000 QPN 000000 PSN 0xabe829
 GID: 254:128:00:00:00:00:00:00:04:140:226:255:254:50:255:79
 remote address: LID 0000 QPN 000000 PSN 0xdfb7cc
 GID: 254:128:00:00:00:00:00:00:04:90:113:255:254:102:80:205
---------------------------------------------------------------------------------------
 #bytes #iterations    t_min[usec]    t_max[usec]  t_typical[usec]    t_avg[usec]    t_stdev[usec]   99% percentile[usec]   99.9% percentile[usec] 
 2       10000          13.21          109.85       14.62    	       14.85       	3.26   		17.70   		92.11  
 4       10000          13.15          20.87        14.63    	       14.69       	0.37   		17.13   		19.09  
 8       10000          13.22          55.12        14.62    	       14.70       	0.64   		17.08   		19.20  
 16      10000          13.24          19.95        14.63    	       14.68       	0.32   		16.83   		18.51  
 32      10000          13.21          35.85        14.62    	       14.68       	0.40   		17.02   		19.36  
 64      10000          13.21          33.21        14.68    	       14.72       	0.29   		16.14   		18.79  
 128     10000          13.14          29.82        14.66    	       14.71       	0.35   		16.55   		19.12  
 256     10000          13.26          29.55        14.68    	       14.72       	0.32   		16.28   		19.12  
 512     10000          13.36          69.06        14.77    	       14.82       	0.41   		16.52   		19.89  
 1024    10000          13.45          23.98        14.90    	       14.95       	0.38   		17.39   		19.86  
 2048    10000          13.56          35.97        15.08    	       15.13       	0.41   		17.44   		19.86  
 4096    10000          13.91          33.39        15.44    	       15.51       	0.47   		18.67   		20.76  
 8192    10000          15.50          38.01        17.18    	       17.23       	0.40   		19.80   		21.76  
 16384   10000          16.71          45.76        18.47    	       18.52       	0.49   		20.43   		23.55  
 32768   10000          18.04          56.76        20.07    	       20.10       	0.45   		21.69   		25.25  
 65536   10000          20.26          47.53        21.63    	       21.72       	0.47   		24.51   		26.59  
 131072  10000          22.59          32.99        24.31    	       24.38       	0.43   		26.69   		29.22  
 262144  10000          26.68          41.46        28.72    	       28.79       	0.54   		31.23   		33.73  
 524288  10000          33.33          78.32        36.40    	       36.54       	0.85   		39.87   		42.42  
 1048576 10000          45.73          343.13       49.32    	       49.52       	1.31   		54.10   		58.09  
 2097152 10000          69.77          396.09       74.70    	       74.97       	3.64   		81.29   		84.24  
 4194304 10000          149.67         480.22       159.90   	       160.07      	5.56   		164.17  		167.21 
 8388608 10000          213.05         543.85       219.81   	       220.27      	6.64   		227.73  		305.57 
---------------------------------------------------------------------------------------
