Disabling dynamic polling

************************************
* Waiting for client to connect... *
************************************
---------------------------------------------------------------------------------------
                    RDMA_Write_imm Latency Test
 Dual-port       : OFF		Device         : rdmap113s0
 Number of qps   : 1		Transport type : Unknown
 Connection type : SRD		Using SRQ      : OFF
 PCIe relax order: OFF		Lock-free      : OFF
 ibv_wr* API     : ON		Using Enhanced Reorder      : OFF
 RX depth        : 512
 Mtu             : 4096[B]
 Link type       : IB
 GID index       : 0
 Max inline data : 0[B]
 rdma_cm QPs	 : OFF
 Data ex. method : Ethernet
---------------------------------------------------------------------------------------
 local address: LID 0000 QPN 000000 PSN 0xdfb7cc
 GID: 254:128:00:00:00:00:00:00:04:90:113:255:254:102:80:205
 remote address: LID 0000 QPN 000000 PSN 0xabe829
 GID: 254:128:00:00:00:00:00:00:04:140:226:255:254:50:255:79
---------------------------------------------------------------------------------------
 #bytes #iterations    t_min[usec]    t_max[usec]  t_typical[usec]    t_avg[usec]    t_stdev[usec]   99% percentile[usec]   99.9% percentile[usec] 
 2       10000          13.21          128.88       14.61    	       14.86       	3.22   		17.73   		63.58  
 4       10000          13.17          30.68        14.62    	       14.69       	0.37   		17.07   		19.15  
 8       10000          13.15          55.24        14.63    	       14.70       	0.72   		17.13   		19.19  
 16      10000          13.11          19.73        14.63    	       14.68       	0.32   		16.75   		18.60  
 32      10000          13.27          35.43        14.62    	       14.68       	0.41   		16.94   		19.14  
 64      10000          13.24          38.05        14.68    	       14.73       	0.34   		16.16   		18.74  
 128     10000          13.24          35.59        14.66    	       14.71       	0.38   		16.52   		19.06  
 256     10000          13.32          29.39        14.68    	       14.72       	0.33   		16.24   		19.14  
 512     10000          13.39          68.81        14.77    	       14.82       	0.42   		16.55   		19.95  
 1024    10000          13.47          35.89        14.90    	       14.95       	0.39   		17.34   		19.90  
 2048    10000          13.73          36.62        15.08    	       15.13       	0.42   		17.53   		19.89  
 4096    10000          13.90          33.57        15.44    	       15.51       	0.48   		18.74   		20.66  
 8192    10000          15.61          37.20        17.18    	       17.23       	0.43   		19.75   		21.61  
 16384   10000          16.57          45.29        18.47    	       18.52       	0.49   		20.42   		23.42  
 32768   10000          17.95          57.10        20.07    	       20.10       	0.48   		21.65   		25.17  
 65536   10000          19.92          46.99        21.65    	       21.72       	0.48   		24.50   		26.54  
 131072  10000          22.64          33.18        24.31    	       24.38       	0.42   		26.67   		29.16  
 262144  10000          26.52          40.92        28.71    	       28.79       	0.54   		31.24   		34.09  
 524288  10000          33.11          77.72        36.41    	       36.54       	0.85   		39.87   		41.77  
 1048576 10000          45.57          342.48       49.31    	       49.52       	1.31   		54.10   		57.31  
 2097152 10000          69.80          397.18       74.69    	       74.97       	3.66   		81.30   		84.88  
 4194304 10000          149.73         480.08       159.90   	       160.07      	5.56   		164.16  		166.68 
 8388608 10000          213.72         542.68       219.86   	       220.27      	6.70   		227.44  		316.10 
---------------------------------------------------------------------------------------
